respondent_id,gender,age_group,household_size,region,province,district,survey_date,year,month,school_attendance,health_service_access,clean_water_access,food_security_status,response_complete,missing_fields_count
R0001,Female,50+,10,Central Highlands,South Ridge,District C,2024-03-15,2024,Mar,No,No,Yes,Insecure,False,2
R0002,Female,18-24,3,Central Highlands,South Ridge,District A,2024-02-05,2024,Feb,No,Yes,No,Insecure,False,2
R0003,Male,25-34,7,Central Highlands,South Ridge,District B,2024-01-06,2024,Jan,Yes,Yes,No,Secure,True,0
R0004,Female,50+,8,Central Highlands,North Valley,District B,2024-02-17,2024,Feb,Yes,No,No,Insecure,False,2
R0005,Male,18-24,6,Central Highlands,South Ridge,District A,2024-01-01,2024,Jan,Yes,Yes,Yes,Insecure,True,0
R0006,Male,25-34,2,Central Highlands,North Valley,District A,2024-01-09,2024,Jan,No,Yes,No,Secure,True,0
R0007,Male,25-34,8,Central Highlands,East Plains,District C,2024-01-26,2024,Jan,No,No,Yes,Insecure,False,2
R0008,Male,50+,10,Central Highlands,South Ridge,District C,2024-03-31,2024,Mar,Yes,Yes,No,Insecure,True,0
R0009,Female,35-49,10,Central Highlands,South Ridge,District C,2024-02-26,2024,Feb,No,Yes,No,Insecure,True,0
R0010,Female,25-34,6,Central Highlands,East Plains,District C,2024-03-27,2024,Mar,Yes,No,Yes,Secure,True,0
R0011,Male,18-24,4,Central Highlands,East Plains,District A,2024-01-18,2024,Jan,No,No,No,Insecure,True,0
R0012,Female,18-24,6,Central Highlands,North Valley,District B,2024-04-30,2024,Apr,Yes,Yes,Yes,Insecure,False,1
R0013,Female,35-49,6,Central Highlands,East Plains,District C,2024-01-14,2024,Jan,Yes,No,Yes,Secure,True,0
R0014,Male,35-49,9,Central Highlands,East Plains,District B,2024-03-07,2024,Mar,No,Yes,No,Insecure,True,0
R0015,Female,35-49,7,Central Highlands,East Plains,District C,2024-04-22,2024,Apr,Yes,No,No,Secure,False,2
R0016,Male,18-24,3,Central Highlands,North Valley,District A,2024-01-26,2024,Jan,Yes,No,No,Insecure,False,1
R0017,Female,35-49,10,Central Highlands,North Valley,District C,2024-02-14,2024,Feb,Yes,No,Yes,Insecure,False,2
R0018,Female,50+,9,Central Highlands,South Ridge,District B,2024-02-09,2024,Feb,No,No,No,Insecure,False,1
R0019,Male,50+,3,Central Highlands,East Plains,District C,2024-02-10,2024,Feb,Yes,Yes,Yes,Secure,False,3
R0020,Male,35-49,9,Central Highlands,East Plains,District A,2024-03-15,2024,Mar,Yes,No,Yes,Secure,True,0
R0021,Male,35-49,9,Central Highlands,South Ridge,District A,2024-04-09,2024,Apr,Yes,No,No,Secure,True,0
R0022,Male,50+,6,Central Highlands,North Valley,District C,2024-01-09,2024,Jan,Yes,No,No,Insecure,True,0
R0023,Male,50+,7,Central Highlands,East Plains,District B,2024-01-31,2024,Jan,Yes,No,No,Insecure,True,0
R0024,Male,50+,1,Central Highlands,North Valley,District B,2024-03-14,2024,Mar,No,No,No,Secure,False,2
R0025,Female,25-34,9,Central Highlands,North Valley,District B,2024-03-28,2024,Mar,Yes,No,Yes,Secure,False,2
R0026,Male,50+,2,Central Highlands,East Plains,District B,2024-04-18,2024,Apr,Yes,Yes,No,Insecure,True,0
R0027,Male,50+,6,Central Highlands,East Plains,District A,2024-02-26,2024,Feb,Yes,Yes,Yes,Insecure,True,0
R0028,Male,50+,1,Central Highlands,South Ridge,District B,2024-03-27,2024,Mar,Yes,Yes,No,Insecure,False,3
R0029,Male,35-49,2,Central Highlands,South Ridge,District B,2024-04-13,2024,Apr,No,Yes,Yes,Insecure,False,2
R0030,Male,18-24,10,Central Highlands,North Valley,District C,2024-01-06,2024,Jan,No,Yes,Yes,Secure,False,3
R0031,Male,35-49,2,Central Highlands,South Ridge,District C,2024-02-01,2024,Feb,No,No,No,Secure,True,0
R0032,Female,25-34,7,Central Highlands,South Ridge,District B,2024-01-11,2024,Jan,Yes,No,Yes,Insecure,False,1
R0033,Male,25-34,9,Central Highlands,North Valley,District B,2024-04-29,2024,Apr,Yes,No,No,Insecure,True,0
R0034,Female,18-24,9,Central Highlands,East Plains,District B,2024-02-04,2024,Feb,No,No,No,Secure,True,0
R0035,Female,18-24,2,Central Highlands,South Ridge,District B,2024-03-25,2024,Mar,Yes,No,Yes,Insecure,False,1
R0036,Male,18-24,4,Central Highlands,East Plains,District A,2024-02-02,2024,Feb,Yes,No,No,Insecure,False,2
R0037,Male,18-24,4,Central Highlands,North Valley,District C,2024-01-29,2024,Jan,No,No,No,Secure,False,3
R0038,Female,50+,9,Central Highlands,South Ridge,District B,2024-01-19,2024,Jan,Yes,No,No,Secure,False,3
R0039,Male,18-24,10,Central Highlands,South Ridge,District C,2024-01-17,2024,Jan,No,Yes,Yes,Secure,False,1
R0040,Female,25-34,10,Central Highlands,South Ridge,District A,2024-04-20,2024,Apr,No,No,Yes,Insecure,False,1
R0041,Female,50+,1,Central Highlands,North Valley,District B,2024-04-16,2024,Apr,No,Yes,No,Secure,False,3
R0042,Female,50+,5,Central Highlands,North Valley,District A,2024-03-17,2024,Mar,No,No,Yes,Insecure,False,2
R0043,Male,35-49,1,Central Highlands,East Plains,District B,2024-01-23,2024,Jan,Yes,Yes,Yes,Secure,True,0
